timestamp,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,sl,tp,result,R_multiple,position_size,gross_pnl,commission,pnl,equity_before,equity_after,ema50,ema200,rsi,atr,reason,exit_reason,bars_held
2025-12-17 13:30:00+00:00,2025-12-17 13:35:00+00:00,2025-12-17 14:00:00+00:00,BUY,4332.42,4343.7812,4326.7144,4343.8312,WIN,1.989716019122152,26.289996634521568,298.6855001682616,0.22809729993883612,298.4574028683228,3000.0,3298.457402868323,4318.91797182204,4309.239711897854,71.51573138412844,3.803728140029099,trend_breakout_momentum_volatility,take_profit_hit,5
2025-12-17 14:00:00+00:00,2025-12-17 14:05:00+00:00,2025-12-17 14:15:00+00:00,BUY,4344.7,4337.7957,4337.8457,4358.4086,LOSS,-1.0085613969139215,24.061181020787686,-166.12592919446425,0.20891110043283803,-166.33484029489708,3298.457402868323,3132.1225625734255,4320.563629505851,4309.854589759336,75.75377787218714,4.569542118511165,trend_breakout_momentum_volatility,stop_loss_hit,2
2025-12-17 14:30:00+00:00,2025-12-17 14:35:00+00:00,2025-12-17 15:35:00+00:00,BUY,4337.39,4347.575,4328.6771,4354.8158,WIN,1.1679621976261914,17.974093465248245,183.0661419435442,0.15610437265240973,182.9100375708918,3132.1225625734255,3315.0326001443173,4321.165907129392,4310.221538057461,59.133396660001154,5.808586987765073,trend_breakout_momentum_volatility,max_hold_12,12
2025-12-22 06:55:00+00:00,2025-12-22 07:00:00+00:00,2025-12-22 07:15:00+00:00,BUY,4419.505,4413.0016,4413.0516,4432.4117,LOSS,-1.009116552440647,25.684498480424203,-167.03585493124083,0.2268585030585231,-167.26271343429937,3315.0326001443173,3147.769886710018,4375.70562780652,4345.7289578679465,77.88550279381032,4.30224817337575,trend_breakout_momentum_volatility,stop_loss_hit,3
2025-12-22 13:00:00+00:00,2025-12-22 13:05:00+00:00,2025-12-22 13:15:00+00:00,BUY,4418.1,4426.328,4413.961,4426.378,WIN,1.985782897400281,38.02583267217679,312.87569703737364,0.3363167383549259,312.5393802990187,3147.769886710018,3460.309267009037,4397.6199180372905,4359.753361933346,69.43815017138695,2.759325845535192,trend_breakout_momentum_volatility,take_profit_hit,2
2025-12-22 13:30:00+00:00,2025-12-22 13:35:00+00:00,2025-12-22 14:35:00+00:00,BUY,4421.445,4415.2755,4415.3255,4433.684,LOSS,-1.0096146152283725,28.272770724988106,-174.42910188671064,0.24983857241440338,-174.67894045912504,3460.309267009037,3285.630326549912,4399.494153482327,4360.986838343666,60.54513064341724,4.079672394177175,trend_breakout_momentum_volatility,stop_loss_hit,12
2025-12-22 14:45:00+00:00,2025-12-22 14:50:00+00:00,2025-12-22 15:00:00+00:00,BUY,4426.795,4418.7261,4418.7761,4442.8329,LOSS,-1.0073383099002613,20.486668417972414,-165.30584974840266,0.18121525678892797,-165.4870650051916,3285.630326549912,3120.14326154472,4404.077723464898,4364.097778561944,58.72748952452302,5.345964929510802,trend_breakout_momentum_volatility,stop_loss_hit,2
2025-12-22 15:35:00+00:00,2025-12-22 15:40:00+00:00,2025-12-22 16:40:00+00:00,BUY,4425.555,4436.855,4416.7161,4443.2327,WIN,1.277441720505005,17.650131107161727,199.44648151091468,0.15642269842542117,199.29005881248926,3120.14326154472,3319.4333203572096,4405.636520025646,4365.687116085063,57.26663327448949,5.89257806377557,trend_breakout_momentum_volatility,max_hold_12,12
2025-12-23 13:10:00+00:00,2025-12-23 13:15:00+00:00,2025-12-23 13:25:00+00:00,BUY,4494.64,4490.1299,4490.1799,4503.5602,LOSS,-1.013224964523557,37.21247703441126,-167.8322898695963,0.33434554326602284,-168.16663541286232,3319.4333203572096,3151.266684944347,4478.442612790078,4425.684445936655,65.66972465672212,2.973405324319628,trend_breakout_momentum_volatility,stop_loss_hit,2
2025-12-23 13:30:00+00:00,2025-12-23 13:35:00+00:00,2025-12-23 13:40:00+00:00,BUY,4491.885,4486.0196,4486.0696,4503.5158,LOSS,-1.0101416706533581,27.09413726897701,-158.91804111066583,0.24324857953180695,-159.16128969019763,3151.266684944347,2992.1053952541497,4478.877804445369,4426.319824584051,56.58719954935795,3.8769355078064205,trend_breakout_momentum_volatility,stop_loss_hit,1
